loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
6.5125,2.102137804031372,0.000984241628365069,0.3875968992248062,50,,,,,,,,,,,
,,,0.3875968992248062,50,5.485975742340088,1.0,0.9191512712639474,4.7698,29.351,1.887,,,,,
3.4443,2.292483329772949,0.0009514116874589626,0.7751937984496124,100,,,,,,,,,,,
,,,0.7751937984496124,100,3.297743558883667,1.0,0.9478690323760747,4.4888,31.189,2.005,,,,,
1.1348,0.9095064997673035,0.0009185817465528562,1.1627906976744187,150,,,,,,,,,,,
,,,1.1627906976744187,150,1.3497482538223267,0.9380952380952381,0.32924821657216025,5.2073,26.885,1.728,,,,,
0.5237,0.7158652544021606,0.0008857518056467499,1.550387596899225,200,,,,,,,,,,,
,,,1.550387596899225,200,1.4814687967300415,0.9571428571428572,0.3738796414852753,5.2935,26.447,1.7,,,,,
0.4718,0.6749876737594604,0.0008529218647406434,1.937984496124031,250,,,,,,,,,,,
,,,1.937984496124031,250,1.3277158737182617,0.946031746031746,0.3371135906347174,4.4335,31.578,2.03,,,,,
0.4538,0.5688796639442444,0.0008200919238345371,2.3255813953488373,300,,,,,,,,,,,
,,,2.3255813953488373,300,1.5016560554504395,0.9587301587301588,0.374611304188769,4.5489,30.776,1.978,,,,,
,,,2.3255813953488373,300,,,,,,,499.2075,49.398,3.101,4.259114569673952e+18,2.0901587931315104
