loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.509,5.563215732574463,0.000294,0.14705882352941177,50,,,,,,,,,,,
,,,0.14705882352941177,50,2.876276969909668,1.0,0.7987927565392354,4.1608,33.648,4.326,,,,,
1.6163,3.4442574977874756,0.0002944943820224719,0.29411764705882354,100,,,,,,,,,,,
,,,0.29411764705882354,100,2.0483200550079346,1.0,0.478141576733126,3.8391,36.467,4.689,,,,,
1.1397,10.561758995056152,0.000288876404494382,0.4411764705882353,150,,,,,,,,,,,
,,,0.4411764705882353,150,1.8920279741287231,0.9984126984126984,0.5485641119443936,4.0741,34.363,4.418,,,,,
1.1628,4.984146595001221,0.0002832584269662921,0.5882352941176471,200,,,,,,,,,,,
,,,0.5882352941176471,200,1.646323323249817,0.9968253968253968,0.4457655021035303,3.9589,35.363,4.547,,,,,
0.9176,3.7305734157562256,0.0002776404494382022,0.7352941176470589,250,,,,,,,,,,,
,,,0.7352941176470589,250,1.648183822631836,1.0,0.4550942015730748,4.0179,34.844,4.48,,,,,
0.9148,5.087747573852539,0.00027202247191011235,0.8823529411764706,300,,,,,,,,,,,
,,,0.8823529411764706,300,1.626155972480774,0.9825396825396825,0.3987561734040607,3.9543,35.404,4.552,,,,,
0.8698,0.638522207736969,0.00026640449438202244,1.0294117647058822,350,,,,,,,,,,,
,,,1.0294117647058822,350,1.3169928789138794,0.9555555555555556,0.340406072800439,3.7825,37.013,4.759,,,,,
0.7868,0.7403661608695984,0.0002607865168539326,1.1764705882352942,400,,,,,,,,,,,
,,,1.1764705882352942,400,1.2908107042312622,0.9523809523809523,0.3415035668556795,3.9046,35.856,4.61,,,,,
0.6991,0.6099075078964233,0.0002551685393258427,1.3235294117647058,450,,,,,,,,,,,
,,,1.3235294117647058,450,1.233162522315979,0.9380952380952381,0.32778489116517284,3.7784,37.052,4.764,,,,,
0.7193,0.8058584928512573,0.0002495505617977528,1.4705882352941178,500,,,,,,,,,,,
,,,1.4705882352941178,500,1.2532732486724854,0.9761904761904762,0.36381927931223706,3.8063,36.781,4.729,,,,,
0.7859,0.527854323387146,0.00024393258426966288,1.6176470588235294,550,,,,,,,,,,,
,,,1.6176470588235294,550,1.2552077770233154,0.9380952380952381,0.3265044814340589,3.8414,36.445,4.686,,,,,
0.7013,0.43514326214790344,0.00023831460674157302,1.7647058823529411,600,,,,,,,,,,,
,,,1.7647058823529411,600,1.2550593614578247,0.9634920634920635,0.35138101335284433,3.9315,35.61,4.578,,,,,
0.7341,0.5800210237503052,0.0002326966292134831,1.9117647058823528,650,,,,,,,,,,,
,,,1.9117647058823528,650,1.24038565158844,0.9476190476190476,0.3658313517468447,3.8333,36.522,4.696,,,,,
0.6211,0.5310986042022705,0.00022707865168539325,2.0588235294117645,700,,,,,,,,,,,
,,,2.0588235294117645,700,1.1238293647766113,0.9301587301587302,0.3116883116883117,3.9568,35.382,4.549,,,,,
0.5161,0.8575639724731445,0.00022146067415730334,2.2058823529411766,750,,,,,,,,,,,
,,,2.2058823529411766,750,1.1507058143615723,0.9349206349206349,0.2952259008597037,4.0673,34.421,4.426,,,,,
0.5928,0.7138578295707703,0.00021584269662921346,2.3529411764705883,800,,,,,,,,,,,
,,,2.3529411764705883,800,1.124812126159668,0.9174603174603174,0.30418876897750136,3.8567,36.3,4.667,,,,,
0.564,1.102083683013916,0.00021022471910112358,2.5,850,,,,,,,,,,,
,,,2.5,850,1.0904024839401245,0.8952380952380953,0.2807755624657033,3.9594,35.359,4.546,,,,,
0.582,0.5513719320297241,0.0002046067415730337,2.6470588235294117,900,,,,,,,,,,,
,,,2.6470588235294117,900,1.0557349920272827,0.8809523809523809,0.2668739710993232,3.7824,37.013,4.759,,,,,
0.559,0.6989872455596924,0.0001989887640449438,2.7941176470588234,950,,,,,,,,,,,
,,,2.7941176470588234,950,1.011218786239624,0.8904761904761904,0.2560819462227913,3.729,37.543,4.827,,,,,
0.5471,1.0027276277542114,0.00019337078651685392,2.9411764705882355,1000,,,,,,,,,,,
,,,2.9411764705882355,1000,0.9934446215629578,0.8841269841269841,0.26541064569233586,3.7489,37.345,4.801,,,,,
0.5127,0.9017775058746338,0.00018775280898876401,3.088235294117647,1050,,,,,,,,,,,
,,,3.088235294117647,1050,1.0488156080245972,0.8920634920634921,0.2813243094933236,3.7739,37.097,4.77,,,,,
0.4798,1.2000089883804321,0.00018213483146067416,3.235294117647059,1100,,,,,,,,,,,
,,,3.235294117647059,1100,1.0629738569259644,0.9047619047619048,0.2646789829888421,3.7178,37.656,4.842,,,,,
0.4475,0.8263760805130005,0.00017651685393258425,3.3823529411764706,1150,,,,,,,,,,,
,,,3.3823529411764706,1150,1.022716760635376,0.861904761904762,0.2560819462227913,3.7878,36.96,4.752,,,,,
0.4652,1.3959784507751465,0.0001708988764044944,3.5294117647058822,1200,,,,,,,,,,,
,,,3.5294117647058822,1200,1.0171884298324585,0.8809523809523809,0.2617523321748674,3.5933,38.962,5.009,,,,,
0.428,1.4613944292068481,0.00016528089887640448,3.6764705882352944,1250,,,,,,,,,,,
,,,3.6764705882352944,1250,1.0772836208343506,0.8555555555555555,0.24748490945674045,3.7173,37.662,4.842,,,,,
0.4816,1.279119849205017,0.00015966292134831457,3.8235294117647056,1300,,,,,,,,,,,
,,,3.8235294117647056,1300,1.022887945175171,0.8507936507936508,0.24272910188403146,3.5923,38.972,5.011,,,,,
0.4418,1.395621657371521,0.0001540449438202247,3.9705882352941178,1350,,,,,,,,,,,
,,,3.9705882352941178,1350,1.0109387636184692,0.8269841269841269,0.2456557526980062,3.7575,37.259,4.79,,,,,
0.3816,1.9521112442016602,0.00014842696629213483,4.117647058823529,1400,,,,,,,,,,,
,,,4.117647058823529,1400,1.0066170692443848,0.846031746031746,0.24913115053960125,3.7816,37.021,4.76,,,,,
0.3413,13.693778991699219,0.00014280898876404492,4.264705882352941,1450,,,,,,,,,,,
,,,4.264705882352941,1450,1.047506332397461,0.8380952380952381,0.24108286080117067,3.7352,37.481,4.819,,,,,
0.3353,1.2008190155029297,0.00013719101123595503,4.411764705882353,1500,,,,,,,,,,,
,,,4.411764705882353,1500,0.9532308578491211,0.8238095238095238,0.23577830620084142,3.763,37.204,4.783,,,,,
0.342,1.8128477334976196,0.00013157303370786515,4.5588235294117645,1550,,,,,,,,,,,
,,,4.5588235294117645,1550,1.025172233581543,0.8111111111111111,0.24638741540149992,3.8439,36.421,4.683,,,,,
0.3481,0.9081680774688721,0.00012595505617977526,4.705882352941177,1600,,,,,,,,,,,
,,,4.705882352941177,1600,0.9803266525268555,0.8206349206349206,0.24016828242180355,3.7893,36.946,4.75,,,,,
0.3411,1.758050560951233,0.00012033707865168538,4.852941176470588,1650,,,,,,,,,,,
,,,4.852941176470588,1650,0.9346674084663391,0.7841269841269841,0.2301079202487653,3.8216,36.634,4.71,,,,,
0.3991,12.962339401245117,0.0001147191011235955,5.0,1700,,,,,,,,,,,
,,,5.0,1700,0.9123223423957825,0.8015873015873016,0.22535211267605634,3.7104,37.732,4.851,,,,,
0.2404,4.361839771270752,0.0001091011235955056,5.147058823529412,1750,,,,,,,,,,,
,,,5.147058823529412,1750,0.9650994539260864,0.8222222222222222,0.23449789646972746,3.8237,36.614,4.707,,,,,
0.2959,4.6325764656066895,0.00010348314606741572,5.294117647058823,1800,,,,,,,,,,,
,,,5.294117647058823,1800,0.9548087120056152,0.8142857142857143,0.22791293213828426,3.6907,37.933,4.877,,,,,
0.2683,4.9317193031311035,9.786516853932583e-05,5.4411764705882355,1850,,,,,,,,,,,
,,,5.4411764705882355,1850,0.9392682909965515,0.8047619047619048,0.2242546186208158,3.8039,36.804,4.732,,,,,
0.2694,13.542640686035156,9.224719101123595e-05,5.588235294117647,1900,,,,,,,,,,,
,,,5.588235294117647,1900,0.9614503979682922,0.8,0.22773001646241084,3.9404,35.529,4.568,,,,,
0.2485,3.136342763900757,8.662921348314606e-05,5.735294117647059,1950,,,,,,,,,,,
,,,5.735294117647059,1950,0.9475781917572021,0.8222222222222222,0.21657216023413206,3.8533,36.333,4.671,,,,,
0.2453,4.160167217254639,8.101123595505618e-05,5.882352941176471,2000,,,,,,,,,,,
,,,5.882352941176471,2000,0.8878072500228882,0.8047619047619048,0.21821840131699285,3.7937,36.903,4.745,,,,,
0.2548,0.3823973834514618,7.539325842696628e-05,6.029411764705882,2050,,,,,,,,,,,
,,,6.029411764705882,2050,0.863696813583374,0.7857142857142857,0.2136455094201573,3.648,38.377,4.934,,,,,
0.1918,0.9861331582069397,6.97752808988764e-05,6.176470588235294,2100,,,,,,,,,,,
,,,6.176470588235294,2100,0.916337788105011,0.7841269841269841,0.2118163526614231,3.7341,37.493,4.82,,,,,
0.1918,0.5032868981361389,6.415730337078652e-05,6.323529411764706,2150,,,,,,,,,,,
,,,6.323529411764706,2150,0.9326096773147583,0.7761904761904762,0.21419425644777756,3.7169,37.666,4.843,,,,,
0.2082,0.35259461402893066,5.8539325842696625e-05,6.470588235294118,2200,,,,,,,,,,,
,,,6.470588235294118,2200,0.8753966093063354,0.773015873015873,0.20578013535760015,3.7595,37.239,4.788,,,,,
0.1888,0.6906570196151733,5.2921348314606735e-05,6.617647058823529,2250,,,,,,,,,,,
,,,6.617647058823529,2250,0.9046730995178223,0.7841269841269841,0.2063288823852204,3.7794,37.043,4.763,,,,,
0.1953,1.277466058731079,4.730337078651685e-05,6.764705882352941,2300,,,,,,,,,,,
,,,6.764705882352941,2300,0.9196812510490417,0.780952380952381,0.20651179806109385,3.8292,36.561,4.701,,,,,
0.1559,0.4254898130893707,4.168539325842697e-05,6.911764705882353,2350,,,,,,,,,,,
,,,6.911764705882353,2350,0.9259065985679626,0.773015873015873,0.20395097859886593,3.7714,37.122,4.773,,,,,
0.1484,0.40917345881462097,3.6067415730337076e-05,7.0588235294117645,2400,,,,,,,,,,,
,,,7.0588235294117645,2400,0.9375581741333008,0.765079365079365,0.20395097859886593,3.6673,38.176,4.908,,,,,
0.1486,0.7272252440452576,3.044943820224719e-05,7.205882352941177,2450,,,,,,,,,,,
,,,7.205882352941177,2450,0.9244972467422485,0.753968253968254,0.20065849643314432,3.84,36.458,4.687,,,,,
0.1302,0.35913681983947754,2.4831460674157302e-05,7.352941176470588,2500,,,,,,,,,,,
,,,7.352941176470588,2500,0.9517418742179871,0.7523809523809524,0.1957197731845619,3.8287,36.566,4.701,,,,,
0.1415,0.5623492002487183,1.921348314606741e-05,7.5,2550,,,,,,,,,,,
,,,7.5,2550,0.9492834806442261,0.765079365079365,0.20193890616425828,3.7146,37.689,4.846,,,,,
0.1439,0.34842050075531006,1.3595505617977526e-05,7.647058823529412,2600,,,,,,,,,,,
,,,7.647058823529412,2600,0.9259259700775146,0.7603174603174603,0.20157307481251144,3.7903,36.936,4.749,,,,,
0.1262,0.5133577585220337,7.97752808988764e-06,7.794117647058823,2650,,,,,,,,,,,
,,,7.794117647058823,2650,0.9433650374412537,0.7380952380952381,0.19480519480519481,3.8488,36.375,4.677,,,,,
0.1365,0.6570181846618652,2.359550561797753e-06,7.9411764705882355,2700,,,,,,,,,,,
,,,7.9411764705882355,2700,0.9440882802009583,0.746031746031746,0.1946222791293214,3.7025,37.812,4.862,,,,,
,,,8.0,2720,,,,,,,1805.9184,12.023,1.506,1.6337486212690993e+19,0.5382136839277604
