loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1855,0.4588799774646759,9.63855421686747e-06,0.30120481927710846,25,,,,,,,,,,,
,,,0.30120481927710846,25,0.9406330585479736,0.7523809523809524,0.19608560453630877,3.9672,35.29,4.537,,,,,
0.227,0.7738469839096069,9.262048192771085e-06,0.6024096385542169,50,,,,,,,,,,,
,,,0.6024096385542169,50,0.9463880062103271,0.7507936507936508,0.19663435156392903,3.9852,35.13,4.517,,,,,
0.2253,1.652200698852539,8.885542168674699e-06,0.9036144578313253,75,,,,,,,,,,,
,,,0.9036144578313253,75,0.947329044342041,0.7476190476190476,0.19498811048106823,4.0624,34.462,4.431,,,,,
0.1863,3.142176866531372,8.509036144578313e-06,1.2048192771084336,100,,,,,,,,,,,
,,,1.2048192771084336,100,0.9528557658195496,0.7396825396825397,0.19261020669471374,3.9594,35.359,4.546,,,,,
0.2314,0.5894700288772583,8.132530120481928e-06,1.5060240963855422,125,,,,,,,,,,,
,,,1.5060240963855422,125,0.9544409513473511,0.7428571428571429,0.19096396561185294,3.8929,35.963,4.624,,,,,
0.1833,3.2632808685302734,7.756024096385543e-06,1.8072289156626506,150,,,,,,,,,,,
,,,1.8072289156626506,150,0.9604372382164001,0.7476190476190476,0.19352478507408086,3.9916,35.073,4.509,,,,,
0.191,0.5814229846000671,7.3795180722891564e-06,2.108433734939759,175,,,,,,,,,,,
,,,2.108433734939759,175,0.9529547691345215,0.7492063492063492,0.193158953722334,3.945,35.488,4.563,,,,,
0.1774,3.058067798614502,7.003012048192772e-06,2.4096385542168672,200,,,,,,,,,,,
,,,2.4096385542168672,200,0.9531084299087524,0.7412698412698413,0.19078104993597952,3.8044,36.799,4.731,,,,,
0.2225,2.65655779838562,6.626506024096386e-06,2.710843373493976,225,,,,,,,,,,,
,,,2.710843373493976,225,0.9616365432739258,0.7476190476190476,0.19297603804646057,3.9295,35.628,4.581,,,,,
0.1804,0.7542493939399719,6.25e-06,3.0120481927710845,250,,,,,,,,,,,
,,,3.0120481927710845,250,0.9675420522689819,0.746031746031746,0.1938906164258277,3.7713,37.122,4.773,,,,,
0.1455,1.1438966989517212,5.873493975903614e-06,3.3132530120481927,275,,,,,,,,,,,
,,,3.3132530120481927,275,0.9800484776496887,0.746031746031746,0.19297603804646057,3.8606,36.263,4.662,,,,,
,,,3.3132530120481927,275,,,,,,,224.5269,23.48,2.957,1.0584875032376092e+18,0.1959648340398615
