loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
6.2634,21.057092666625977,0.0009838601210490922,1.1904761904761905,50,,,,,,,,,,,
,,,1.1904761904761905,50,1.176329493522644,0.9333333333333333,0.2774830802999817,4.1598,33.655,4.327,,,,,
1.2315,1.3296008110046387,0.0009502353732347008,2.380952380952381,100,,,,,,,,,,,
,,,2.380952380952381,100,0.8654731512069702,0.8603174603174604,0.222608377537955,4.2342,33.064,4.251,,,,,
1.0631,15.561063766479492,0.0009166106254203094,3.571428571428571,150,,,,,,,,,,,
,,,3.571428571428571,150,0.8181950449943542,0.8174603174603174,0.21638924455825864,4.1229,33.957,4.366,,,,,
0.9782,1.29574716091156,0.0008829858776059179,4.761904761904762,200,,,,,,,,,,,
,,,4.761904761904762,200,0.7653242945671082,0.7873015873015873,0.1946222791293214,4.1239,33.948,4.365,,,,,
0.9386,2.591339588165283,0.0008493611297915266,5.9523809523809526,250,,,,,,,,,,,
,,,5.9523809523809526,250,0.7317891716957092,0.8095238095238095,0.19535394183281507,4.2968,32.582,4.189,,,,,
0.8568,8.943981170654297,0.0008157363819771352,7.142857142857143,300,,,,,,,,,,,
,,,7.142857142857143,300,0.7500699758529663,0.7603174603174603,0.19004938723248582,4.2372,33.041,4.248,,,,,
0.8183,1.0467541217803955,0.0007821116341627437,8.333333333333334,350,,,,,,,,,,,
,,,8.333333333333334,350,0.7079959511756897,0.7571428571428571,0.18675690506676423,4.1697,33.576,4.317,,,,,
0.7862,0.9668145775794983,0.0007484868863483524,9.523809523809524,400,,,,,,,,,,,
,,,9.523809523809524,400,0.6988375186920166,0.753968253968254,0.18035485641119445,4.1854,33.449,4.301,,,,,
0.7581,4.442172527313232,0.000714862138533961,10.714285714285714,450,,,,,,,,,,,
,,,10.714285714285714,450,0.710399329662323,0.7571428571428571,0.17797695262483995,4.2581,32.878,4.227,,,,,
0.7122,1.8001216650009155,0.0006812373907195696,11.904761904761905,500,,,,,,,,,,,
,,,11.904761904761905,500,0.6983633041381836,0.792063492063492,0.1858423266873971,4.0653,34.438,4.428,,,,,
0.6844,59.720069885253906,0.0006476126429051782,13.095238095238095,550,,,,,,,,,,,
,,,13.095238095238095,550,0.6937646865844727,0.726984126984127,0.17541613316261204,4.1736,33.544,4.313,,,,,
0.6783,0.9242314696311951,0.0006139878950907868,14.285714285714286,600,,,,,,,,,,,
,,,14.285714285714286,600,0.6841353178024292,0.7206349206349206,0.1726723980245107,4.1793,33.498,4.307,,,,,
0.6277,2.586242198944092,0.0005803631472763954,15.476190476190476,650,,,,,,,,,,,
,,,15.476190476190476,650,0.6793485879898071,0.7111111111111111,0.16480702396195354,4.2098,33.256,4.276,,,,,
0.5747,2.6388099193573,0.0005467383994620041,16.666666666666668,700,,,,,,,,,,,
,,,16.666666666666668,700,0.6874918341636658,0.7206349206349206,0.1653557709895738,4.3103,32.481,4.176,,,,,
0.6067,2.5465753078460693,0.0005131136516476127,17.857142857142858,750,,,,,,,,,,,
,,,17.857142857142858,750,0.6637123823165894,0.7238095238095238,0.1702944942381562,4.1894,33.418,4.297,,,,,
0.5725,0.7026029825210571,0.00047948890383322124,19.047619047619047,800,,,,,,,,,,,
,,,19.047619047619047,800,0.6745816469192505,0.7063492063492064,0.1653557709895738,4.2225,33.155,4.263,,,,,
,,,19.047619047619047,800,,,,,,,795.1537,29.836,1.902,6.75477362861908e+18,1.1344197130203246
