loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.2676,3.428734064102173,0.0009880893300248138,0.29411764705882354,50,,,,,,,,,,,
,,,0.29411764705882354,50,1.3062949180603027,0.9666666666666667,0.3345527711724895,4.821,29.04,3.734,,,,,
0.7992,0.9606172442436218,0.0009632754342431762,0.5882352941176471,100,,,,,,,,,,,
,,,0.5882352941176471,100,1.097140908241272,0.9158730158730158,0.28187305652094385,4.6742,29.951,3.851,,,,,
0.7067,4.911905765533447,0.0009384615384615385,0.8823529411764706,150,,,,,,,,,,,
,,,0.8823529411764706,150,0.9255887866020203,0.873015873015873,0.23742454728370221,4.5936,30.477,3.918,,,,,
0.6357,1.5730348825454712,0.0009136476426799008,1.1764705882352942,200,,,,,,,,,,,
,,,1.1764705882352942,200,0.9269894361495972,0.9031746031746032,0.2396195353941833,4.4447,31.498,4.05,,,,,
0.6663,1.3549202680587769,0.000888833746898263,1.4705882352941178,250,,,,,,,,,,,
,,,1.4705882352941178,250,0.897140383720398,0.8793650793650793,0.24089994512529725,4.2906,32.63,4.195,,,,,
0.6652,0.8010182976722717,0.0008640198511166253,1.7647058823529411,300,,,,,,,,,,,
,,,1.7647058823529411,300,0.8834757208824158,0.873015873015873,0.23742454728370221,4.5284,30.916,3.975,,,,,
,,,1.7647058823529411,300,,,,,,,407.1319,79.994,5.011,3.745805321178458e+18,1.2901086870829264
