loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2669,3.5187013149261475,0.0009838601210490922,1.1904761904761905,50,,,,,,,,,,,
,,,1.1904761904761905,50,0.9174106121063232,0.8857142857142857,0.2330345710627401,4.4521,31.446,2.021,,,,,
1.0527,1.3465226888656616,0.0009502353732347008,2.380952380952381,100,,,,,,,,,,,
,,,2.380952380952381,100,0.8248459696769714,0.8333333333333334,0.2129138467166636,4.455,31.425,2.02,,,,,
0.9774,1.1826145648956299,0.0009166106254203094,3.571428571428571,150,,,,,,,,,,,
,,,3.571428571428571,150,0.7783516049385071,0.8396825396825397,0.20760929211633436,4.3928,31.871,2.049,,,,,
0.9478,1.092195987701416,0.0008829858776059179,4.761904761904762,200,,,,,,,,,,,
,,,4.761904761904762,200,0.7477604746818542,0.7793650793650794,0.1898664715566124,4.4659,31.348,2.015,,,,,
0.8638,13.11589241027832,0.0008493611297915266,5.9523809523809526,250,,,,,,,,,,,
,,,5.9523809523809526,250,0.7368872761726379,0.7698412698412699,0.18712273641851107,4.314,32.452,2.086,,,,,
0.8391,2.341033458709717,0.0008157363819771352,7.142857142857143,300,,,,,,,,,,,
,,,7.142857142857143,300,0.6982831954956055,0.7714285714285715,0.17998902505944758,4.4329,31.582,2.03,,,,,
0.8098,2.1840157508850098,0.0007821116341627437,8.333333333333334,350,,,,,,,,,,,
,,,8.333333333333334,350,0.7036213278770447,0.7523809523809524,0.176696542893726,4.3355,32.291,2.076,,,,,
0.7564,1.146307349205017,0.0007484868863483524,9.523809523809524,400,,,,,,,,,,,
,,,9.523809523809524,400,0.7064323425292969,0.7301587301587301,0.1768794585695994,4.4566,31.414,2.019,,,,,
0.7321,2.4368672370910645,0.000714862138533961,10.714285714285714,450,,,,,,,,,,,
,,,10.714285714285714,450,0.6941431164741516,0.7507936507936508,0.1743186391073715,4.5038,31.085,1.998,,,,,
0.688,1.7721554040908813,0.0006812373907195696,11.904761904761905,500,,,,,,,,,,,
,,,11.904761904761905,500,0.6999006271362305,0.7365079365079366,0.17541613316261204,4.3762,31.992,2.057,,,,,
0.694,0.9450413584709167,0.0006476126429051782,13.095238095238095,550,,,,,,,,,,,
,,,13.095238095238095,550,0.6810123920440674,0.7222222222222222,0.171940735321017,4.4957,31.141,2.002,,,,,
0.6517,0.7980185747146606,0.0006139878950907868,14.285714285714286,600,,,,,,,,,,,
,,,14.285714285714286,600,0.6653342843055725,0.7126984126984127,0.1693799158587891,4.3709,32.03,2.059,,,,,
0.6306,4.561478614807129,0.0005803631472763954,15.476190476190476,650,,,,,,,,,,,
,,,15.476190476190476,650,0.6734301447868347,0.726984126984127,0.16956283153466253,4.3813,31.954,2.054,,,,,
0.5934,2.0731770992279053,0.0005467383994620041,16.666666666666668,700,,,,,,,,,,,
,,,16.666666666666668,700,0.6705973148345947,0.7301587301587301,0.16755075910005487,4.3286,32.343,2.079,,,,,
0.573,1.1863048076629639,0.0005131136516476127,17.857142857142858,750,,,,,,,,,,,
,,,17.857142857142858,750,0.672789990901947,0.7126984126984127,0.16462410828608012,4.4856,31.211,2.006,,,,,
0.5911,1.0810068845748901,0.00047948890383322124,19.047619047619047,800,,,,,,,,,,,
,,,19.047619047619047,800,0.6691681742668152,0.7285714285714285,0.16809950612767513,4.4895,31.184,2.005,,,,,
0.5578,3.253615140914917,0.0004458641560188298,20.238095238095237,850,,,,,,,,,,,
,,,20.238095238095237,850,0.6581058502197266,0.7158730158730159,0.1677336747759283,4.5061,31.069,1.997,,,,,
0.5402,4.230206489562988,0.00041223940820443847,21.428571428571427,900,,,,,,,,,,,
,,,21.428571428571427,900,0.6643069386482239,0.7047619047619048,0.1660874336930675,4.3971,31.839,2.047,,,,,
,,,21.428571428571427,900,,,,,,,907.4451,26.144,1.666,7.586237827840175e+18,0.7647736740112304
