,model,subset,WER,CER,n_files,training,predictions_file,best_dev_checkpoint,best_dev_step,best_dev_loss,best_dev_WER,best_dev_CER,stage1_best_dev_checkpoint,stage1_best_dev_step,stage1_best_dev_loss,stage1_best_dev_WER,stage1_best_dev_CER,stage2_best_dev_checkpoint,stage2_best_dev_step,stage2_best_dev_loss,stage2_best_dev_WER,stage2_best_dev_CER
0,MMS-1b-all existing ckt adapter,chuklang_test,0.9236192714453584,0.2998757420958166,200,,,,,,,,,,,,,,,,,
1,MMS-1b-all existing ckt adapter,radio_test,0.9158878504672896,0.3312989253018442,83,,,,,,,,,,,,,,,,,
2,MMS-1b-all existing ckt adapter,bible_test,0.524541691306919,0.0753587703189825,146,,,,,,,,,,,,,,,,,
3,MMS-1b-all adapter fine-tuning,chuklang_test,0.7685076380728555,0.1953610382438216,200,chuklang_only,mms_adapter_chuklang_only_chuklang_test_predictions.csv,mms-1b-ckt-chuklang-only/checkpoint-650,650.0,0.6793485879898071,0.7111111111111111,0.1648070239619535,,,,,,,,,,
4,MMS-1b-all adapter fine-tuning,radio_test,0.9679572763684912,0.3145813984343903,83,chuklang_only,mms_adapter_chuklang_only_radio_test_predictions.csv,mms-1b-ckt-chuklang-only/checkpoint-650,650.0,0.6793485879898071,0.7111111111111111,0.1648070239619535,,,,,,,,,,
5,MMS-1b-all adapter fine-tuning,bible_test,0.6984033116499113,0.125892674964293,146,chuklang_only,mms_adapter_chuklang_only_bible_test_predictions.csv,mms-1b-ckt-chuklang-only/checkpoint-650,650.0,0.6793485879898071,0.7111111111111111,0.1648070239619535,,,,,,,,,,
6,MMS-1b-all adapter fine-tuning,chuklang_test,0.9012925969447708,0.2558332182797183,200,pooled,mms_adapter_pooled_chuklang_test_predictions.csv,mms-1b-ckt-pooled/checkpoint-150,150.0,0.9255887866020204,0.873015873015873,0.2374245472837022,,,,,,,,,,
7,MMS-1b-all adapter fine-tuning,radio_test,0.8090787716955942,0.1960992437309274,83,pooled,mms_adapter_pooled_radio_test_predictions.csv,mms-1b-ckt-pooled/checkpoint-150,150.0,0.9255887866020204,0.873015873015873,0.2374245472837022,,,,,,,,,,
8,MMS-1b-all adapter fine-tuning,bible_test,0.3560023654642223,0.0507379446371488,146,pooled,mms_adapter_pooled_bible_test_predictions.csv,mms-1b-ckt-pooled/checkpoint-150,150.0,0.9255887866020204,0.873015873015873,0.2374245472837022,,,,,,,,,,
9,MMS-1b-all adapter fine-tuning,chuklang_test,0.7332549941245593,0.1843158912053016,200,staged_bible_radio_to_chuklang_stage2,mms_adapter_staged_bible_radio_to_chuklang_stage2_chuklang_test_predictions.csv,,,,,,mms-1b-ckt-staged-bible-radio-to-chuklang-stage1/checkpoint-150,150.0,1.3497482538223269,0.938095238095238,0.3292482165721602,mms-1b-ckt-staged-bible-radio-to-chuklang-stage2/checkpoint-750,750.0,0.672789990901947,0.7126984126984127,0.1646241082860801
10,MMS-1b-all adapter fine-tuning,radio_test,0.8878504672897196,0.3066206713546504,83,staged_bible_radio_to_chuklang_stage2,mms_adapter_staged_bible_radio_to_chuklang_stage2_radio_test_predictions.csv,,,,,,mms-1b-ckt-staged-bible-radio-to-chuklang-stage1/checkpoint-150,150.0,1.3497482538223269,0.938095238095238,0.3292482165721602,mms-1b-ckt-staged-bible-radio-to-chuklang-stage2/checkpoint-750,750.0,0.672789990901947,0.7126984126984127,0.1646241082860801
11,MMS-1b-all adapter fine-tuning,bible_test,0.6794795978710823,0.1172549819764673,146,staged_bible_radio_to_chuklang_stage2,mms_adapter_staged_bible_radio_to_chuklang_stage2_bible_test_predictions.csv,,,,,,mms-1b-ckt-staged-bible-radio-to-chuklang-stage1/checkpoint-150,150.0,1.3497482538223269,0.938095238095238,0.3292482165721602,mms-1b-ckt-staged-bible-radio-to-chuklang-stage2/checkpoint-750,750.0,0.672789990901947,0.7126984126984127,0.1646241082860801
